-6164,-3024,-17160
-6060,-2892,-17024
-6208,-2904,-16996
-6208,-2848,-16940
-6324,-2892,-17088
-6220,-2944,-17072
-6232,-2916,-17252
-6248,-2844,-17096
-6312,-2964,-17124
-6364,-2836,-16968
-6340,-2932,-17024
-6340,-2948,-17120
-6264,-2992,-17120
-6324,-2916,-17024
-6316,-2980,-17052
-6412,-2964,-16968
-6300,-2972,-17176
-6372,-2964,-16928
-6276,-2992,-17100
-6288,-2996,-17032
-6436,-2932,-17004
-6452,-3004,-16912
-6384,-2892,-17096
-6372,-2952,-16988
-6344,-2920,-16928
-6268,-2960,-17004
-6408,-2988,-17096
-6308,-3000,-17040
-6232,-2952,-16952
-6244,-3008,-17052
-6392,-2964,-16924
-6376,-2920,-17112
-6496,-2960,-16996
-6316,-2920,-16932
-6428,-3032,-17032
-6464,-3044,-17096
-6364,-3044,-17028
-6396,-2976,-17068
-6420,-2948,-17040
-6316,-3012,-16868
-6388,-2864,-17124
-6380,-2952,-16848
-6368,-3012,-17092
-6516,-2920,-17160
-6388,-2956,-17076
-6376,-2932,-17008
-6408,-2972,-17072
-6480,-2960,-16904
-6436,-2860,-17212
-6548,-2960,-17068
-6312,-3072,-17028
-6436,-2944,-16980
-6416,-3008,-16976
-6416,-2932,-16912
-6376,-2908,-16956
-6396,-2976,-17016
-6448,-3016,-16956
-6448,-2980,-16960
-6460,-2960,-17088
-6500,-2984,-16904
-6504,-2940,-16980
-6496,-2920,-17044
-6400,-2976,-16936
-6440,-2972,-16916
-6460,-2936,-16916
-6344,-2992,-17016
-6392,-2936,-16876
-6416,-3056,-17100
-6432,-3056,-16976
-6424,-2952,-16984
-6384,-3004,-16960
-6448,-2932,-16928
-6424,-2924,-17068
-6516,-2936,-16864
-6376,-3004,-16776
-6444,-3076,-17040
-6536,-2972,-16988
-6360,-2988,-17020
-6364,-3060,-16984
-6408,-2936,-17084
-6408,-2936,-17084
-6516,-3124,-16872
-6484,-3016,-17156
-6464,-3044,-16936
